         80187911 function calls (77911086 primitive calls) in 239.023 seconds

   Ordered by: cumulative time
   List reduced from 5516 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    1.285    0.031  129.098    3.074 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\PG_simulations_func.py:58(PG_simulationv6)
       45    0.001    0.000   65.622    1.458 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2725(savefig)
       45    0.003    0.000   65.621    1.458 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:3334(savefig)
       45    0.003    0.000   65.467    1.455 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:2051(print_figure)
       45    0.001    0.000   65.349    1.452 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:2042(<lambda>)
       45    0.003    0.000   65.348    1.452 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2770(print_pdf)
       45    0.000    0.000   65.270    1.450 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:92(draw_wrapper)
 44615/45    0.317    0.000   65.269    1.450 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:53(draw_wrapper)
       45    0.003    0.000   65.268    1.450 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:3237(draw)
  1077/45    0.095    0.000   63.878    1.420 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:116(_draw_list_compositing_images)
     1032    0.060    0.000   62.168    0.060 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3161(draw)
       42    6.326    0.151   46.981    1.119 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:235(generate_synthetic_image)
       42   27.679    0.659   29.463    0.701 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:213(approx_poisson)
       42    0.128    0.003   21.345    0.508 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:107(PG_coor_mask)
       45    0.001    0.000   21.219    0.472 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\pyplot.py:1621(subplots)
     1032    0.085    0.000   21.019    0.020 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:615(__init__)
       42   18.583    0.442   18.589    0.443 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:60(create_circular_mask_multiple)
    12486    0.142    0.000   18.256    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_axes.py:1532(plot)
10911/10910   16.884    0.002   16.946    0.002 {method 'call' of '_tkinter.tkapp' objects}
     4713    0.245    0.000   15.780    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1276(_update_ticks)
     1032    0.004    0.000   15.710    0.015 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:1445(clear)
     1032    0.105    0.000   15.706    0.015 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:1313(__clear)
     1032    0.039    0.000   15.499    0.015 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3090(_update_title_position)
     7031    0.045    0.000   15.451    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1585(_get_tick)
        2    0.000    0.000   14.488    7.244 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\tkinter\filedialog.py:381(askopenfilename)
        2    0.000    0.000   14.488    7.244 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\tkinter\commondialog.py:32(show)
      515    0.018    0.000   14.397    0.028 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1337(get_tightbbox)
    20294    0.859    0.000   13.906    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:758(draw)
     1048    0.041    0.000   13.192    0.013 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1396(draw)
       45    0.001    0.000   11.770    0.262 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:785(subplots)


