         80437130 function calls (78149436 primitive calls) in 209.967 seconds

   Ordered by: internal time
   List reduced from 5514 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42   25.687    0.612   27.357    0.651 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:213(approx_poisson)
       42   17.178    0.409   17.183    0.409 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:60(create_circular_mask_multiple)
10911/10910    7.951    0.001    8.014    0.001 {method 'call' of '_tkinter.tkapp' objects}
       42    7.602    0.181    7.602    0.181 {GaussianBlur}
       46    6.318    0.137    6.318    0.137 {built-in method _tkinter.create}
       42    5.932    0.141   43.685    1.040 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:235(generate_synthetic_image)
   271599    5.592    0.000    5.592    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   271618    3.683    0.000    4.691    0.000 {built-in method numpy.array}
  1513473    2.643    0.000    3.091    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\__init__.py:701(_get)
     1014    2.397    0.002    2.498    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:63(__init__)
    37829    1.910    0.000    1.910    0.000 {method 'astype' of 'numpy.ndarray' objects}
      420    1.872    0.004    1.903    0.005 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:29(create_circular_mask)
   380133    1.835    0.000    3.254    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1770(__init__)
      828    1.746    0.002    1.749    0.002 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
   197007    1.655    0.000    1.716    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:180(set_children)
   659905    1.590    0.000    1.593    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:109(__init__)
     1670    1.562    0.001    1.562    0.001 {method 'take' of 'numpy.ndarray' objects}
177825/172725    1.511    0.000    8.759    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
6211134/6209547    1.501    0.000    2.253    0.000 {built-in method builtins.isinstance}
4305504/4305460    1.417    0.000    3.433    0.000 {built-in method builtins.getattr}
412621/410581    1.411    0.000    2.454    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:348(process)
   532340    1.372    0.000    1.372    0.000 {method 'copy' of 'numpy.ndarray' objects}
   784090    1.270    0.000    1.487    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
997855/234931    1.268    0.000    1.482    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:165(_invalidate_internal)
465771/379231    1.224    0.000    3.755    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:299(pdfRepr)
  1513466    1.201    0.000    4.292    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\__init__.py:781(__getitem__)
    49098    1.184    0.000    1.743    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:3040(__array_finalize__)
       42    1.148    0.027  119.596    2.848 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\PG_simulations_func.py:58(PG_simulationv6)
   180600    1.118    0.000    1.118    0.000 {method 'compress' of 'zlib.Compress' objects}
2215384/1844486    1.097    0.000    1.841    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:315(stale)


